config,packets,mpps,gbps,ns_per_pkt,size,burst
ring,7812500,14.784,30.278,67.6,256,1
mutex,7812500,3.060,6.266,326.8,256,1
ring,7812500,20.011,40.983,50.0,256,2
mutex,7812500,4.769,9.767,209.7,256,2
ring,7812500,24.413,49.999,41.0,256,4
mutex,7812500,9.397,19.244,106.4,256,4
ring,7812500,25.705,52.644,38.9,256,8
mutex,7812500,15.604,31.957,64.1,256,8
ring,7812500,27.054,55.406,37.0,256,16
mutex,7812500,20.757,42.510,48.2,256,16
ring,7812500,27.892,57.122,35.9,256,32
mutex,7812500,23.743,48.626,42.1,256,32
