config,packets,mpps,gbps,ns_per_pkt,size,burst
4k-copy,31250000,32.035,16.402,31.2,64,32
4k-zerocopy,31250000,30.674,15.705,32.6,64,32
4k-copy,7812500,25.966,53.178,38.5,256,32
4k-zerocopy,7812500,25.975,53.197,38.5,256,32
4k-copy,1953125,8.774,71.879,114.0,1024,32
4k-zerocopy,1953125,13.123,107.504,76.2,1024,32
4k-copy,488281,2.697,88.368,370.8,4096,32
4k-zerocopy,488281,10.457,342.651,95.6,4096,32
4k-copy,122070,0.249,32.574,4023.9,16384,32
4k-zerocopy,122070,9.229,1209.695,108.4,16384,32
4k-copy,50000,0.110,57.042,9116.2,65000,32
4k-zerocopy,50000,9.595,4989.646,104.2,65000,32
2m-copy,31250000,30.819,15.779,32.4,64,32
2m-zerocopy,31250000,33.442,17.122,29.9,64,32
2m-copy,7812500,27.733,56.797,36.1,256,32
2m-zerocopy,7812500,31.941,65.415,31.3,256,32
2m-copy,1953125,9.768,80.018,102.4,1024,32
2m-zerocopy,1953125,23.625,193.538,42.3,1024,32
2m-copy,488281,2.678,87.738,373.5,4096,32
2m-zerocopy,488281,11.558,378.748,86.5,4096,32
2m-copy,122070,0.761,99.682,1314.9,16384,32
2m-zerocopy,122070,9.693,1270.499,103.2,16384,32
2m-copy,50000,0.184,95.499,5445.1,65000,32
2m-zerocopy,50000,6.876,3575.303,145.4,65000,32
